date,value,minValue,maxValue
2015-01-07 17:27:19,212.478,-nan(ind),-nan(ind)
2015-01-07 17:32:19,197.12,-nan(ind),-nan(ind)
2015-01-07 17:37:19,198.12,-nan(ind),-nan(ind)
2015-01-07 17:42:19,230.538,-nan(ind),-nan(ind)
2015-01-07 17:47:19,222,-nan(ind),-nan(ind)
2015-01-07 17:52:19,222.111,-nan(ind),-nan(ind)
2015-01-07 17:57:19,174.333,-nan(ind),-nan(ind)
2015-01-07 18:02:19,185.821,-nan(ind),-nan(ind)
2015-01-07 18:07:19,272.345,-nan(ind),-nan(ind)
2015-01-07 18:12:19,616.828,-nan(ind),-nan(ind)
2015-01-07 18:17:19,565.406,-nan(ind),-nan(ind)
2015-01-07 18:22:19,549.182,-nan(ind),-nan(ind)
2015-01-07 18:27:19,256.188,-nan(ind),-nan(ind)
2015-01-07 18:32:19,258.387,-nan(ind),-nan(ind)
2015-01-07 18:37:19,180.862,-nan(ind),-nan(ind)
2015-01-07 18:42:19,482.586,-nan(ind),-nan(ind)
2015-01-07 18:47:19,474.283,-nan(ind),-nan(ind)
2015-01-07 18:52:19,476.133,-nan(ind),-nan(ind)
2015-01-07 18:57:19,192.591,-nan(ind),-nan(ind)
2015-01-07 19:02:19,244.625,-nan(ind),-nan(ind)
2015-01-07 19:07:19,278,-nan(ind),-nan(ind)
2015-01-07 19:12:19,22.3333,-nan(ind),-nan(ind)
2015-01-07 19:17:19,22,-nan(ind),-nan(ind)
2015-01-07 19:22:19,22,-nan(ind),-nan(ind)
2015-01-07 19:27:19,853.5,-nan(ind),-nan(ind)
2015-01-07 19:32:19,853.5,-nan(ind),-nan(ind)
2015-01-07 19:37:19,856.167,-nan(ind),-nan(ind)
2015-01-07 19:42:19,868.846,-nan(ind),-nan(ind)
2015-01-07 19:47:19,808.071,-nan(ind),-nan(ind)
2015-01-07 19:52:19,754.4,-nan(ind),-nan(ind)
2015-01-07 19:57:19,28.8235,-nan(ind),-nan(ind)
2015-01-07 20:02:19,28.75,-nan(ind),-nan(ind)
